335/18:19:52,IN USE,6550,0.4168,0.013,34.9,29
335/18:19:55,IN USE,6549,0.4168,0.013,34.9,29
335/18:19:58,IN USE,6548,0.4167,0.013,34.9,29
335/18:20:02,IN USE,6547,0.4166,0.013,34.9,29
335/18:20:05,IN USE,6555,0.4171,0.013,34.9,29
335/18:20:08,IN USE,6560,0.4175,0.013,34.9,29
335/18:20:12,IN USE,6558,0.4173,0.013,34.9,29
335/18:20:15,IN USE,6583,0.4189,0.013,34.9,29
335/18:20:19,IN USE,6581,0.4188,0.013,34.9,29
335/18:20:22,IN USE,6542,0.4163,0.013,34.9,29
335/18:20:25,IN USE,6590,0.4194,0.013,34.9,29
335/18:20:28,IN USE,6567,0.4179,0.013,34.9,29
335/18:20:31,IN USE,6552,0.4169,0.013,34.9,29
335/18:20:34,IN USE,6536,0.4159,0.013,34.9,29
335/18:20:35,IN USE,6537,0.4160,0.013,34.9,29
335/18:20:36,IN USE,6542,0.4163,0.013,34.9,29
335/18:20:37,IN USE,6571,0.4182,0.013,34.9,29
335/18:20:38,IN USE,6583,0.4189,0.013,34.9,29
335/18:20:39,IN USE,6581,0.4188,0.013,34.9,29
335/18:20:40,IN USE,6575,0.4184,0.013,34.9,29
335/18:20:41,IN USE,6552,0.4169,0.013,34.9,29
335/18:20:42,IN USE,6570,0.4181,0.013,34.9,29
335/18:20:43,IN USE,6564,0.4177,0.013,34.9,29
335/18:20:44,IN USE,6530,0.4155,0.013,34.9,29
335/18:20:45,IN USE,6582,0.4189,0.013,34.9,29
335/18:20:46,IN USE,6556,0.4172,0.013,34.9,29
335/18:20:47,IN USE,6576,0.4185,0.013,34.9,29
335/18:20:48,IN USE,6568,0.4180,0.013,34.9,29
335/18:20:49,IN USE,6540,0.4162,0.013,34.9,29
335/18:20:50,IN USE,6553,0.4170,0.013,34.9,29
335/18:20:51,IN USE,6574,0.4183,0.013,34.9,29
335/18:20:52,IN USE,6573,0.4183,0.013,34.9,29
335/18:20:54,IN USE,6573,0.4183,0.013,34.9,29
335/18:20:55,IN USE,6571,0.4182,0.013,34.9,29
335/18:20:56,IN USE,6559,0.4174,0.013,34.9,29
335/18:20:57,IN USE,6541,0.4162,0.013,34.9,29
335/18:20:58,IN USE,6570,0.4181,0.013,34.9,29
335/18:20:59,IN USE,6546,0.4166,0.013,34.9,29
335/18:21:00,IN USE,6556,0.4172,0.013,34.9,29
335/18:21:01,IN USE,6578,0.4186,0.013,34.9,29
335/18:21:03,IN USE,6577,0.4185,0.013,34.9,29
335/18:21:05,IN USE,6558,0.4173,0.013,34.9,29
335/18:21:06,IN USE,6586,0.4191,0.013,34.9,29
335/18:21:07,IN USE,6537,0.4160,0.013,34.9,29
335/18:21:08,IN USE,6532,0.4157,0.013,34.9,29
335/18:21:09,IN USE,6547,0.4166,0.013,34.9,29
335/18:21:10,IN USE,6560,0.4175,0.013,34.9,29
335/18:21:11,IN USE,6562,0.4176,0.013,34.9,29
335/18:21:12,IN USE,6565,0.4178,0.013,34.9,29
335/18:21:13,IN USE,6536,0.4159,0.013,34.9,29
